exam,subject,chapter,topic,question_type,question,option_a,option_b,option_c,option_d,correct_answer,solution,difficulty,marks,negative_marks,time_seconds,language,year,exam_session,source,tags,status
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 24, 46, 68, 90, ?",112,113,117,102,A,Common difference is +22. Next term is 90+22=112.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 25, 48, 71, 94, ?",107,118,127,117,D,Common difference is +23. Next term is 94+23=117.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 26, 50, 74, 98, ?",132,123,122,117,C,Common difference is +24. Next term is 98+24=122.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 27, 52, 77, 102, ?",128,127,125,122,B,Common difference is +25. Next term is 102+25=127.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 28, 54, 80, 106, ?",131,132,142,122,B,Common difference is +26. Next term is 106+26=132.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 29, 56, 83, 110, ?",135,136,127,137,D,Common difference is +27. Next term is 110+27=137.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 30, 58, 86, 114, ?",147,142,152,132,B,Common difference is +28. Next term is 114+28=142.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 31, 60, 89, 118, ?",142,137,148,147,D,Common difference is +29. Next term is 118+29=147.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 32, 62, 92, 122, ?",154,151,152,142,C,Common difference is +30. Next term is 122+30=152.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 33, 64, 95, 126, ?",147,159,157,155,C,Common difference is +31. Next term is 126+31=157.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 34, 66, 98, 130, ?",162,172,167,164,A,Common difference is +32. Next term is 130+32=162.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 35, 68, 101, 134, ?",157,177,165,167,D,Common difference is +33. Next term is 134+33=167.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 36, 70, 104, 138, ?",171,173,167,172,D,Common difference is +34. Next term is 138+34=172.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 37, 72, 107, 142, ?",176,182,177,167,C,Common difference is +35. Next term is 142+35=177.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 2, 38, 74, 110, 146, ?",180,182,183,181,B,Common difference is +36. Next term is 146+36=182.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 198, 196, 194, 192, ?",191,195,190,180,C,Common difference is -2. Next term is 192-2=190.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 197, 194, 191, 188, ?",185,183,175,186,A,Common difference is -3. Next term is 188-3=185.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 196, 192, 188, 184, ?",190,182,185,180,D,Common difference is -4. Next term is 184-4=180.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 195, 190, 185, 180, ?",165,177,175,174,C,Common difference is -5. Next term is 180-5=175.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 194, 188, 182, 176, ?",165,169,170,171,C,Common difference is -6. Next term is 176-6=170.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 193, 186, 179, 172, ?",155,166,165,164,C,Common difference is -7. Next term is 172-7=165.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 192, 184, 176, 168, ?",162,161,155,160,D,Common difference is -8. Next term is 168-8=160.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 191, 182, 173, 164, ?",150,145,155,156,C,Common difference is -9. Next term is 164-9=155.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 190, 180, 170, 160, ?",148,140,160,150,D,Common difference is -10. Next term is 160-10=150.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 189, 178, 167, 156, ?",155,143,145,144,C,Common difference is -11. Next term is 156-11=145.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 188, 176, 164, 152, ?",130,141,135,140,D,Common difference is -12. Next term is 152-12=140.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 187, 174, 161, 148, ?",130,135,125,137,B,Common difference is -13. Next term is 148-13=135.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 186, 172, 158, 144, ?",125,135,130,128,C,Common difference is -14. Next term is 144-14=130.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 185, 170, 155, 140, ?",130,125,127,120,B,Common difference is -15. Next term is 140-15=125.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 184, 168, 152, 136, ?",121,120,110,118,B,Common difference is -16. Next term is 136-16=120.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 183, 166, 149, 132, ?",110,117,115,113,C,Common difference is -17. Next term is 132-17=115.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 182, 164, 146, 128, ?",108,100,120,110,D,Common difference is -18. Next term is 128-18=110.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 181, 162, 143, 124, ?",95,103,105,107,C,Common difference is -19. Next term is 124-19=105.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 180, 160, 140, 120, ?",101,99,100,95,C,Common difference is -20. Next term is 120-20=100.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 179, 158, 137, 116, ?",90,85,94,95,D,Common difference is -21. Next term is 116-21=95.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 178, 156, 134, 112, ?",80,95,85,90,D,Common difference is -22. Next term is 112-22=90.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 177, 154, 131, 108, ?",85,95,83,86,A,Common difference is -23. Next term is 108-23=85.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 176, 152, 128, 104, ?",80,79,85,82,A,Common difference is -24. Next term is 104-24=80.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 175, 150, 125, 100, ?",65,76,80,75,D,Common difference is -25. Next term is 100-25=75.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 174, 148, 122, 96, ?",80,72,70,65,C,Common difference is -26. Next term is 96-26=70.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 173, 146, 119, 92, ?",67,65,55,70,B,Common difference is -27. Next term is 92-27=65.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 172, 144, 116, 88, ?",59,60,65,70,B,Common difference is -28. Next term is 88-28=60.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 171, 142, 113, 84, ?",54,55,57,56,B,Common difference is -29. Next term is 84-29=55.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 170, 140, 110, 80, ?",48,55,40,50,D,Common difference is -30. Next term is 80-30=50.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 169, 138, 107, 76, ?",45,44,35,47,A,Common difference is -31. Next term is 76-31=45.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 168, 136, 104, 72, ?",38,40,50,39,B,Common difference is -32. Next term is 72-32=40.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 167, 134, 101, 68, ?",36,35,45,30,B,Common difference is -33. Next term is 68-33=35.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 166, 132, 98, 64, ?",35,28,25,30,D,Common difference is -34. Next term is 64-34=30.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 165, 130, 95, 60, ?",25,15,30,27,A,Common difference is -35. Next term is 60-35=25.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Arithmetic Series,mcq,"Series: 200, 164, 128, 92, 56, ?",20,15,10,19,A,Common difference is -36. Next term is 56-36=20.,Easy,2,-0.5,60,en,2026,Practice,Original AI,"easy,ap",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 5, 11, 23, 47, ?",95,96,85,93,A,Pattern: x2 + 1. Next term is 47*2+1=95.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 6, 14, 30, 62, ?",125,124,126,128,C,Pattern: x2 + 2. Next term is 62*2+2=126.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 7, 17, 37, 77, ?",157,159,162,155,A,Pattern: x2 + 3. Next term is 77*2+3=157.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 8, 20, 44, 92, ?",186,190,189,188,D,Pattern: x2 + 4. Next term is 92*2+4=188.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 9, 23, 51, 107, ?",217,224,219,218,C,Pattern: x2 + 5. Next term is 107*2+5=219.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 10, 26, 58, 122, ?",250,251,260,248,A,Pattern: x2 + 6. Next term is 122*2+6=250.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 11, 29, 65, 137, ?",281,271,276,282,A,Pattern: x2 + 7. Next term is 137*2+7=281.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 12, 32, 72, 152, ?",313,312,317,310,B,Pattern: x2 + 8. Next term is 152*2+8=312.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 13, 35, 79, 167, ?",341,343,348,344,B,Pattern: x2 + 9. Next term is 167*2+9=343.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 14, 38, 86, 182, ?",379,372,373,374,D,Pattern: x2 + 10. Next term is 182*2+10=374.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 15, 41, 93, 197, ?",405,406,404,415,A,Pattern: x2 + 11. Next term is 197*2+11=405.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 16, 44, 100, 212, ?",446,436,438,431,B,Pattern: x2 + 12. Next term is 212*2+12=436.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 17, 47, 107, 227, ?",462,468,467,465,C,Pattern: x2 + 13. Next term is 227*2+13=467.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 18, 50, 114, 242, ?",503,493,498,499,C,Pattern: x2 + 14. Next term is 242*2+14=498.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 19, 53, 121, 257, ?",530,539,528,529,D,Pattern: x2 + 15. Next term is 257*2+15=529.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 20, 56, 128, 272, ?",560,562,559,565,A,Pattern: x2 + 16. Next term is 272*2+16=560.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 21, 59, 135, 287, ?",586,590,593,591,D,Pattern: x2 + 17. Next term is 287*2+17=591.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 22, 62, 142, 302, ?",621,617,622,624,C,Pattern: x2 + 18. Next term is 302*2+18=622.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 23, 65, 149, 317, ?",653,648,652,663,A,Pattern: x2 + 19. Next term is 317*2+19=653.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 24, 68, 156, 332, ?",684,694,685,686,A,Pattern: x2 + 20. Next term is 332*2+20=684.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 25, 71, 163, 347, ?",717,715,713,714,B,Pattern: x2 + 21. Next term is 347*2+21=715.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 26, 74, 170, 362, ?",747,746,751,756,B,Pattern: x2 + 22. Next term is 362*2+22=746.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 27, 77, 177, 377, ?",772,779,777,778,C,Pattern: x2 + 23. Next term is 377*2+23=777.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 28, 80, 184, 392, ?",813,807,810,808,D,Pattern: x2 + 24. Next term is 392*2+24=808.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 29, 83, 191, 407, ?",844,839,829,840,B,Pattern: x2 + 25. Next term is 407*2+25=839.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 30, 86, 198, 422, ?",870,868,880,871,A,Pattern: x2 + 26. Next term is 422*2+26=870.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 31, 89, 205, 437, ?",896,901,911,899,B,Pattern: x2 + 27. Next term is 437*2+27=901.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 32, 92, 212, 452, ?",932,930,922,934,A,Pattern: x2 + 28. Next term is 452*2+28=932.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 33, 95, 219, 467, ?",968,963,973,953,B,Pattern: x2 + 29. Next term is 467*2+29=963.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 34, 98, 226, 482, ?",984,996,999,994,D,Pattern: x2 + 30. Next term is 482*2+30=994.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 35, 101, 233, 497, ?",1020,1015,1025,1026,C,Pattern: x2 + 31. Next term is 497*2+31=1025.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 36, 104, 240, 512, ?",1046,1054,1055,1056,D,Pattern: x2 + 32. Next term is 512*2+32=1056.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 37, 107, 247, 527, ?",1085,1097,1087,1092,C,Pattern: x2 + 33. Next term is 527*2+33=1087.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 38, 110, 254, 542, ?",1118,1128,1117,1123,A,Pattern: x2 + 34. Next term is 542*2+34=1118.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Mixed Operations Series,mcq,"Series: 2, 39, 113, 261, 557, ?",1144,1150,1149,1139,C,Pattern: x2 + 35. Next term is 557*2+35=1149.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,mixed",active
SSC CGL Tier I,Reasoning,Number series,Prime Number Series,mcq,"Series: 3, 6, 11, 18, 29, ?",44,43,32,42,D,Differences are consecutive prime numbers. Next prime is 13. Next term: 29+13=42.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,prime",active
SSC CGL Tier I,Reasoning,Number series,Prime Number Series,mcq,"Series: 6, 11, 18, 29, 42, ?",69,60,58,59,D,Differences are consecutive prime numbers. Next prime is 17. Next term: 42+17=59.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,prime",active
SSC CGL Tier I,Reasoning,Number series,Prime Number Series,mcq,"Series: 9, 16, 27, 40, 57, ?",66,81,76,75,C,Differences are consecutive prime numbers. Next prime is 19. Next term: 57+19=76.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,prime",active
SSC CGL Tier I,Reasoning,Number series,Prime Number Series,mcq,"Series: 12, 23, 36, 53, 72, ?",95,90,96,94,A,Differences are consecutive prime numbers. Next prime is 23. Next term: 72+23=95.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,prime",active
SSC CGL Tier I,Reasoning,Number series,Prime Number Series,mcq,"Series: 15, 28, 45, 64, 87, ?",111,118,117,116,D,Differences are consecutive prime numbers. Next prime is 29. Next term: 87+29=116.,Medium,2,-0.5,60,en,2026,Practice,Original AI,"medium,prime",active
